,bedroom_bedroom,bedroom_dining_room,bedroom_garage,bedroom_obstacle_world,bedroom_study,bedroom_turtle_world
0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
1,0.15750172606727456,0.21164786172672123,0.1250337884160585,0.20081601124326817,0.12789496335212935,0.17710564919454824
2,0.08278335234153544,0.15105586703869364,0.15059056805689736,0.46877586917694747,0.07135974313983749,0.07543460024608867
3,0.02655477307118529,0.04172778969499499,0.022265159884388586,0.8639314184204283,0.02991453361386371,0.015606325315139042
4,0.03727488635789673,0.040721745170975994,0.007070908674766947,0.8167170030461722,0.09307598322224193,0.005139473527946126
5,0.0991334178092829,0.02430476652981494,0.002016997522906563,0.7885354294053096,0.08011819570521499,0.0058911930274710795
6,0.08481466806786415,0.014241187963507011,0.0005522089794347463,0.8376554586633519,0.059807354805176696,0.0029291215206654502
7,0.30881902153830604,0.024207532929221204,0.00014173044058407022,0.47611765979277937,0.16383936465907326,0.02687469064003595
8,0.5827060720248816,0.0014071342943440526,5.488407864171373e-06,0.19841036378887206,0.2136159337744759,0.0038550077095621457
9,0.9326331443650243,7.019301456760912e-05,1.3810749998178969e-07,0.057585768555211636,0.009477623075666308,0.00023313288203003976
10,0.9999621424042433,4.005135907295793e-06,3.822366141972104e-11,2.5882171547206935e-05,4.675046007387614e-06,3.295204071267964e-06
